Date,Close/Last,Volume,Open,High,Low
06/02/2022,308.21,N/A,300.5,310.2,306.6
06/01/2022,300.02,N/A,319.21,303.81,298.38
05/31/2022,319.32,N/A,320.8,324.29,318.52
05/30/2022,315.6,N/A,302.72,321.21,304.1
05/29/2022,316.81,N/A,300.91,318.11,304.1
05/28/2022,300.4,N/A,300.91,308.01,299.52
05/27/2022,300.41,N/A,302.39,304.99,297.1
05/26/2022,302.4,N/A,330.8,307.5,297.59
05/25/2022,327.2,N/A,336.6,331.61,325.78
05/24/2022,335.79,N/A,325.29,337.39,327.4
05/23/2022,326.7,N/A,318.59,326.7,315.99
05/22/2022,320,N/A,314.2,321.3,317.29
05/21/2022,316.62,N/A,301.9,319.11,311.7
05/20/2022,301.8,N/A,309.29,303.89,299.5
05/19/2022,307.8,N/A,294,311.9,305.19
05/18/2022,295.99,N/A,300.7,296.59,287.1
05/17/2022,300.41,N/A,306.4,308.3,299.31
05/16/2022,306.89,N/A,301.2,307.6,297
05/15/2022,300.79,N/A,289.7,312.4,300.4
05/14/2022,289,N/A,293.8,298.9,285.9
05/13/2022,293.69,N/A,307.8,299.4,289.39
05/12/2022,307.51,N/A,255.01,307.81,265.6
05/11/2022,258.19,N/A,318.3,280.28,257.39
05/10/2022,319.08,N/A,306.91,322.7,314.78
05/09/2022,308.12,N/A,349.49,313,289.8
05/08/2022,350.2,N/A,359.2,359.29,347.56
05/07/2022,358.71,N/A,376.49,366.9,356.29
05/06/2022,377.5,N/A,378.88,380.6,376.29
05/05/2022,377.7,N/A,403.21,379.39,375.08
05/04/2022,403.31,N/A,385.5,405.92,401.61
05/03/2022,385.6,N/A,391,386.19,382.88
05/02/2022,391.08,N/A,389.59,392.2,388.81
05/01/2022,389.78,N/A,383.1,392.39,387
04/30/2022,382.51,N/A,396.79,383.79,376
04/29/2022,396.7,N/A,404.6,397.61,392.67
04/28/2022,404.3,N/A,389.62,410.59,402.41
04/27/2022,389.79,N/A,388.19,392.91,389.69
04/26/2022,388.5,N/A,404.01,389.7,383.6
04/25/2022,403.91,N/A,395.87,407.31,402.7
04/24/2022,395.9,N/A,405.01,399.3,391.11
04/23/2022,405.11,N/A,403.4,405.3,401.1
04/22/2022,402.5,N/A,409.3,407.99,402.3
04/21/2022,409.92,N/A,421.59,410.69,403.52
04/20/2022,421.22,N/A,421.49,422.8,418.2
04/19/2022,421.57,N/A,416.71,422.4,417.99
04/18/2022,416.69,N/A,408,419.9,414.79
04/17/2022,415.2,N/A,415.82,418.2,413.52
04/16/2022,415.89,N/A,416.01,418.2,414.38
04/15/2022,416.38,N/A,418.09,418.6,416.18
04/14/2022,417.98,N/A,422.1,417.99,412.69
04/13/2022,422.11,N/A,418.15,426.89,421.4
04/12/2022,418.1,N/A,398.1,420.48,410.61
04/11/2022,397.31,N/A,413.91,397.34,392.57
04/10/2022,413.7,N/A,427,419.6,411.18
04/09/2022,426.99,N/A,422.92,427.68,424.48
04/08/2022,423.3,N/A,438.21,425.29,419.81
04/07/2022,438.69,N/A,424.96,440.71,435.38
04/06/2022,424.7,N/A,440.1,427.88,416.88
04/05/2022,440.28,N/A,455.08,444.6,433.16
04/04/2022,455.01,N/A,443.49,456.53,446.31
04/03/2022,444.19,N/A,437.4,450.31,442.82
04/02/2022,443.19,N/A,446.11,453.96,439.01
04/01/2022,448.99,N/A,418.91,453.96,445.68
03/31/2022,418.24,N/A,444.9,430.19,413.53
03/30/2022,445.3,N/A,433.4,452.11,440.49
03/29/2022,432.92,N/A,432.32,434.17,425.78
03/28/2022,432.91,N/A,431.89,435.9,429.81
03/27/2022,431.51,N/A,416.11,432.7,428.29
03/26/2022,415.62,N/A,410.1,418.2,415.62
03/25/2022,409.7,N/A,413.39,411.79,407.5
03/24/2022,413.4,N/A,406.41,415.59,411.4
03/23/2022,407.71,N/A,401.91,412.19,407.5
03/22/2022,401.81,N/A,404.81,406.4,401.13
03/21/2022,405.21,N/A,388.81,406.92,394.99
03/20/2022,388.89,N/A,396.42,392.01,385.59
03/19/2022,396.89,N/A,398.4,400.61,393.31
03/18/2022,396.6,N/A,385.1,400.5,396.1
03/17/2022,384.9,N/A,384.1,392.4,384.1
03/16/2022,383.2,N/A,379.3,386.3,381.8
03/15/2022,370.6,N/A,368.7,383.1,370.1
03/14/2022,366.8,N/A,364,374.4,366.5
03/13/2022,364.6,N/A,375.6,365.1,359.8
03/12/2022,376.2,N/A,373.7,377.1,371.7
03/11/2022,376.2,N/A,368.9,377.4,371.6
03/10/2022,366.3,N/A,386.5,372.8,364.9
03/09/2022,377.6,N/A,397.8,394.5,376.3
03/08/2022,398,N/A,381.8,402.3,381.1
03/07/2022,381.5,N/A,369.5,385.3,379.1
03/06/2022,369.3,N/A,383,375.2,365.5
03/03/2022,402.41,N/A,409.2,413.08,397.6
03/02/2022,404.77,N/A,411.6,411.09,403
03/01/2022,412.89,N/A,396.3,415.59,404
02/28/2022,395.2,N/A,361.71,399.8,391
02/27/2022,362.59,N/A,365.5,365,356
02/26/2022,366.1,N/A,379.4,374.6,363.3
02/25/2022,380.6,N/A,362.79,385.6,373.79
02/24/2022,363.3,N/A,341.9,366.99,360.1
02/23/2022,340.3,N/A,374.91,368.2,336.61
02/22/2022,374.1,N/A,352.71,379.31,371.1
02/21/2022,355.31,N/A,391.2,361.21,349.3
02/20/2022,391,N/A,384.88,392.4,378.99
02/19/2022,387.21,N/A,403.9,399.99,386.6
02/18/2022,402.81,N/A,403.58,404.51,398
02/17/2022,404.32,N/A,424.69,405.2,398.68
02/16/2022,425.09,N/A,430.09,431,421.42
02/15/2022,429.6,N/A,424.31,433.28,427.9
02/14/2022,422.35,N/A,394.1,422.35,402.7
02/13/2022,393.6,N/A,402.71,399.01,390.61
02/12/2022,402.85,N/A,400.11,406.59,401.81
02/11/2022,400.3,N/A,413.31,403.69,397.28
02/10/2022,412.71,N/A,417.41,415.9,407.71
02/09/2022,416.61,N/A,410.9,422.91,415.19
02/08/2022,411.51,N/A,436.49,415,407.31
02/07/2022,435.12,N/A,428.19,436,428.6
02/06/2022,427.49,N/A,415.5,427.89,413.59
02/05/2022,414.72,N/A,419.19,421.3,412.81
02/04/2022,418.1,N/A,371.23,418.1,396.6
02/03/2022,371.41,N/A,366.12,372.33,369.62
02/02/2022,366.7,N/A,382.01,369.6,363.41
